component,explained_variance_ratio,cumulative_explained_variance
1,0.24996775339275412,0.24996775339275412
2,0.16544402827602675,0.4154117816687809
3,0.14181872345018204,0.557230505118963
4,0.053480791284125244,0.6107112964030882
5,0.03974219284113934,0.6504534892442275
6,0.03447041825891009,0.6849239075031376
7,0.02824161833742978,0.7131655258405674
8,0.022902913631593757,0.7360684394721612
9,0.020830941732672647,0.7568993812048338
10,0.01949264087140482,0.7763920220762386
11,0.016276881350014222,0.7926689034262528
12,0.016191446829168423,0.8088603502554212
13,0.014840760472515454,0.8237011107279367
14,0.012789112825600822,0.8364902235535375
15,0.012007724704348905,0.8484979482578864
16,0.011803087776844887,0.8603010360347313
17,0.011424797658403558,0.8717258336931348
18,0.010407847482497292,0.8821336811756322
19,0.010294221237665982,0.8924279024132982
20,0.009698166313415559,0.9021260687267137
21,0.009398959282633087,0.9115250280093469
22,0.008262519689506618,0.9197875476988535
23,0.007878277786447433,0.927665825485301
24,0.007372560701922975,0.9350383861872239
25,0.006688428919718008,0.9417268151069419
26,0.00655501482915017,0.9482818299360921
27,0.0063651429507984485,0.9546469728868906
28,0.005902558995349717,0.9605495318822403
29,0.004879624109738567,0.9654291559919789
30,0.0044555284672639466,0.9698846844592428
31,0.0037406586519344144,0.9736253431111772
32,0.0036507067977203126,0.9772760499088975
33,0.002918279387244124,0.9801943292961416
34,0.0028531968000445325,0.9830475260961861
35,0.002483464481101695,0.9855309905772878
36,0.0019164771841030214,0.9874474677613908
37,0.0018219865180095977,0.9892694542794004
38,0.0015349767277743531,0.9908044310071747
39,0.0013904769760477473,0.9921949079832225
40,0.0012369668635577957,0.9934318748467803
41,0.0009182025444947096,0.994350077391275
42,0.0007828565547988173,0.9951329339460738
43,0.0006241495480235892,0.9957570834940974
44,0.000569312109160396,0.9963263956032579
45,0.0005524975868345503,0.9968788931900924
46,0.0004990944374794663,0.9973779876275718
47,0.00042355783089033117,0.9978015454584621
48,0.00028802608346519817,0.9980895715419273
49,0.00026073513424645207,0.9983503066761737
50,0.0002158302440795071,0.9985661369202533
51,0.00020900090653959023,0.998775137826793
52,0.00018561188864850203,0.9989607497154415
53,0.00017497563548474622,0.9991357253509262
54,0.00015612045079553612,0.9992918458017217
55,0.000125801830225705,0.9994176476319474
56,0.00010225713163067513,0.9995199047635781
57,9.762978648408199e-05,0.9996175345500622
58,7.728373240757648e-05,0.9996948182824698
59,4.265746849589256e-05,0.9997374757509656
60,4.138965950336911e-05,0.999778865410469
61,3.762179589846261e-05,0.9998164872063675
62,3.676819975324041e-05,0.9998532554061208
63,3.0143155728168688e-05,0.9998833985618489
64,1.9126760924229116e-05,0.9999025253227731
65,1.7391645911753262e-05,0.9999199169686849
66,1.3922949838310128e-05,0.9999338399185231
67,1.1453545717370746e-05,0.9999452934642405
68,1.0859069917255612e-05,0.9999561525341578
69,9.76104128426447e-06,0.9999659135754421
70,8.373790577335479e-06,0.9999742873660195
71,7.049838061158151e-06,0.9999813372040807
72,4.01590211772369e-06,0.9999853531061984
73,3.51666376448086e-06,0.9999888697699629
74,3.0108627812136596e-06,0.9999918806327441
75,2.3942151968487426e-06,0.999994274847941
76,1.8745267213150046e-06,0.9999961493746623
77,1.5860872949514412e-06,0.9999977354619572
78,1.1552834678552937e-06,0.9999988907454251
79,4.6715502390492474e-07,0.999999357900449
80,3.0698429793373496e-07,0.999999664884747
81,1.7358421563799653e-07,0.9999998384689627
82,1.5213435878710794e-07,0.9999999906033215
83,9.396678822710945e-09,1.0000000000000002
