sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1800,1101.0,1101.5090214456886,1107.4826262264103,1099.495238235843,1101.7471559902183,1026.0311111111112
1801,1049.0,1041.004052574632,1055.68880655393,1041.3126220196593,1048.2053540069076,1026.0311111111112
1802,1011.0,987.1322447513777,1026.0380355563846,996.2581157246686,1011.227223634257,1026.0311111111112
1803,989.0,941.794202859346,1026.0380355563846,966.8885176479143,993.4277421338246,1026.0311111111112
1804,981.0,906.1930393862522,1026.0380355563846,953.5700827717038,994.3822705997674,1026.0311111111112
1805,980.0,880.8843559146084,1026.0380355563846,954.7851041711252,1011.1459895722404,1026.0311111111112
1806,989.0,865.8395823505898,1026.0380355563846,967.6101106023267,1039.0379711432665,1026.0311111111112
1807,997.0,860.5246517827322,1026.0380355563846,988.2816556845388,1072.546477786668,1026.0311111111112
1808,1001.0,863.9912728240206,1026.0380355563846,1012.7690859173525,1106.2128836079808,1026.0311111111112
1809,1002.0,874.9761087387592,1026.0380355563846,1037.285976433673,1135.3756775707448,1026.0311111111112
1810,1002.0,892.002613693348,1026.0380355563846,1058.6902275979592,1156.6930470817165,1026.0311111111112
1811,996.0,913.4804597514342,1026.0380355563846,1074.7440013100509,1168.4052677481754,1026.0311111111112
1812,991.0,937.7980846976155,1026.0380355563846,1084.2257921469127,1170.339785517125,1026.0311111111112
1813,989.0,963.4047170833365,1026.0380355563846,1086.905512369953,1163.696890669022,1026.0311111111112
1814,986.0,988.8791755640059,1026.0380355563846,1083.4077557616663,1150.6784229862888,1026.0311111111112
1815,985.0,1012.9837132847218,1026.0380355563846,1074.9974184257437,1134.0342044305619,1026.0311111111112
1816,983.0,1034.7021233552355,1026.0380355563846,1063.325396660031,1116.601023926832,1026.0311111111112
1817,981.0,1053.262191109016,1026.0380355563846,1050.170627711328,1100.8988001722219,1026.0311111111112
1818,979.0,1068.1433375647052,1026.0380355563846,1037.2092717445282,1088.8309768937654,1026.0311111111112
1819,978.0,1079.0709219003325,1026.0380355563846,1025.8336461361916,1081.5147873111962,1026.0311111111112
1820,981.0,1085.9991445820801,1026.0380355563846,1017.0340179639943,1079.2452881548347,1026.0311111111112
